nombre,tipo_organizacion,municipio_codigo,municipio,direccion,barrio,lat,lng,responsable_nombre,telefono,instagram,horario_texto,necesita_urgente,recibe,no_recibe,notas,fuente_nombre,fuente_url
Centro Comercial Unicentro Palmira,empresa,76520,Palmira,Centro Comercial Unicentro Palmira,,3.5399884,-76.3107555,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;botiquin;colchonetas,,FALTA LA NOMENCLATURA. Preguntar en qué parte del centro comercial está el punto. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.,"Diócesis de Palmira y Alcaldía — campaña «Manos unidas, almas encendidas», vía El País",https://www.elpais.com.co/valle/palmira-adelanta-la-campana-de-donacion-manos-unidas-almas-encendidas-tras-terremoto-en-colombia-asi-puede-sumarse-1328.html
Centro Comercial Llanogrande,empresa,76520,Palmira,Centro Comercial Llanogrande,,3.5279185,-76.3168259,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;botiquin;colchonetas,,FALTA LA NOMENCLATURA. Preguntar en qué parte del centro comercial está el punto. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.,"Diócesis de Palmira y Alcaldía — campaña «Manos unidas, almas encendidas», vía El País",https://www.elpais.com.co/valle/palmira-adelanta-la-campana-de-donacion-manos-unidas-almas-encendidas-tras-terremoto-en-colombia-asi-puede-sumarse-1328.html
Centro Comercial La Cometa,empresa,76520,Palmira,Centro Comercial La Cometa,,3.5308373,-76.2988048,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;botiquin;colchonetas,,"FALTA LA NOMENCLATURA. Preguntar en qué parte del centro comercial está el punto. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Diócesis de Palmira y Alcaldía — campaña «Manos unidas, almas encendidas», vía El País",https://www.elpais.com.co/valle/palmira-adelanta-la-campana-de-donacion-manos-unidas-almas-encendidas-tras-terremoto-en-colombia-asi-puede-sumarse-1328.html
Banco de Alimentos de Buenaventura,fundacion,76109,Buenaventura,Avenida Simón Bolívar #47C-70,interior del Colegio Seminario,3.8881929,-77.0738324,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;jabon;papel_higienico,,"Queda dentro del Colegio Seminario. Hace parte de la red de bancos de alimentos (Abaco) que activó el Consejo Gremial Nacional. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.",El Tiempo,https://www.eltiempo.com/datos/este-es-el-mapa-completo-de-los-centros-de-acopio-habilitados-en-colombia-para-ayudar-a-los-damnificados-del-terremoto-de-magnitud-7-3577654
Centro de Acopio Barranquillita,alcaldia,08001,Barranquilla,Carrera 43 #6-120,Barranquillita,10.9813908,-74.7726223,,,,"Abierto 24 horas, todos los días",,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;botiquin;tapabocas;guantes;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;ropa_bebe;colchonetas;cobijas;ropa_nueva;ropa_usada_buen_estado,,"Es el punto oficial del Distrito. La ayuda que llega acá se traslada después a las zonas afectadas. · PIN APROXIMADO (ubicado por barrio, aproximado). Verificarlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Alcaldía de Barranquilla — Oficina Distrital de Gestión del Riesgo, vía Infobae",https://www.infobae.com/colombia/2026/08/10/centros-de-acopio-habilitados-en-colombia-tras-el-terremoto-guia-por-ciudad-para-donar-y-ayudar-a-las-victimas/
SCARE Atlántico,ong,08001,Barranquilla,"Carrera 54 #68-196, piso 2, oficinas 216-222, Prado Office Center",,10.9938599,-74.7926118,,6053861950,,Horario por confirmar,,botiquin;medicamentos_sellados;tapabocas;guantes;no_perecederos;jabon,,"Una de las 16 sedes que la SCARE habilitó en el país. Recibe sobre todo insumos médicos y medicamentos. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar.","Sociedad Colombiana de Anestesiología y Reanimación (SCARE), vía La FM",https://www.lafm.com.co/sociedad/terremoto-colombia-salud-sociedades-cientificas-407436
Casa Abelardista,particular,08001,Barranquilla,Carrera 49C #80-76,,10.9938599,-74.7926118,,,,9:00 a.m. a 5:00 p.m.,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;botiquin;tapabocas;guantes;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;ropa_bebe;colchonetas;cobijas;ropa_nueva;ropa_usada_buen_estado,,"La fuente lo atribuye a Fela Córdoba. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Listado de la Primera Dama, vía Infobae",https://www.infobae.com/colombia/2026/08/12/la-primera-dama-ana-lucia-pineda-revelo-los-30-puntos-donde-reciben-donaciones-para-los-afectados-por-el-terremoto-en-colombia/
Galería Plaza de la Paz,gobernacion,08001,Barranquilla,Galería de la Plaza de la Paz,,10.9938599,-74.7926118,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;botiquin;tapabocas;guantes;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;ropa_bebe;colchonetas;cobijas;ropa_nueva;ropa_usada_buen_estado,,"Punto de la Gobernación del Atlántico. FALTA LA NOMENCLATURA. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.",El Tiempo,https://www.eltiempo.com/datos/este-es-el-mapa-completo-de-los-centros-de-acopio-habilitados-en-colombia-para-ayudar-a-los-damnificados-del-terremoto-de-magnitud-7-3577654
Coliseo Bernardo Caraballo,alcaldia,13001,Cartagena,Coliseo de Combate Bernardo Caraballo,,10.4252358,-75.5366822,,,,8:00 a.m. a 5:00 p.m.,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;cepillo_crema_dental;papel_higienico;botiquin,,Punto oficial de la Alcaldía de Cartagena. FALTA LA NOMENCLATURA: la fuente da solo el nombre del escenario. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.,Noticias Caracol,https://www.noticiascaracol.com/colombia/terremoto-en-colombia-los-puntos-habilitados-para-donar-en-las-principales-ciudades-del-pais-rg10
SCARE Bolívar,ong,13001,Cartagena,"Calle 28 #26-53, Edificio Portus, oficina 1202",Manga,10.4114514,-75.535226,,6056939844,,Horario por confirmar,,botiquin;medicamentos_sellados;tapabocas;guantes;no_perecederos;jabon,,"Una de las 16 sedes que la SCARE habilitó en el país. · PIN APROXIMADO (ubicado por barrio, aproximado). Verificarlo al editar.","Sociedad Colombiana de Anestesiología y Reanimación (SCARE), vía La FM",https://www.lafm.com.co/sociedad/terremoto-colombia-salud-sociedades-cientificas-407436
Banco de Alimentos de Cartagena,fundacion,13001,Cartagena,Banco de Alimentos de Cartagena,,10.4265566,-75.5441671,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar,,"FALTA LA DIRECCIÓN: la fuente solo nombra la entidad. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Listado de la Primera Dama, vía Infobae",https://www.infobae.com/colombia/2026/08/12/la-primera-dama-ana-lucia-pineda-revelo-los-30-puntos-donde-reciben-donaciones-para-los-afectados-por-el-terremoto-en-colombia/
Alcaldía de Bucaramanga — primer piso,alcaldia,68001,Bucaramanga,Primer piso del edificio de la Alcaldía de Bucaramanga,,7.1274586,-73.1191299,,,,"Martes, miércoles y jueves de 8:00 a.m. a 6:00 p.m.",,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;cepillo_crema_dental;papel_higienico;botiquin,,"FALTA LA NOMENCLATURA. Ojo con el horario: solo tres días a la semana, según la fuente. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.",Noticias Caracol,https://www.noticiascaracol.com/colombia/terremoto-en-colombia-los-puntos-habilitados-para-donar-en-las-principales-ciudades-del-pais-rg10
Centroabastos,empresa,68001,Bucaramanga,Centroabastos,,7.1032407,-73.1677486,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;cepillo_crema_dental;papel_higienico;botiquin,,FALTA LA NOMENCLATURA: la fuente da solo el nombre de la central de abastos. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.,Noticias Caracol,https://www.noticiascaracol.com/colombia/terremoto-en-colombia-los-puntos-habilitados-para-donar-en-las-principales-ciudades-del-pais-rg10
SCARE Santander,ong,68001,Bucaramanga,"Calle 45 #28-36, Edificio Verona Plaza",,7.1274586,-73.1191299,,6076973093,,Horario por confirmar,,botiquin;medicamentos_sellados;tapabocas;guantes;no_perecederos;jabon,,"Una de las 16 sedes que la SCARE habilitó en el país. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar.","Sociedad Colombiana de Anestesiología y Reanimación (SCARE), vía La FM",https://www.lafm.com.co/sociedad/terremoto-colombia-salud-sociedades-cientificas-407436
Fersautos,empresa,68001,Bucaramanga,"Anillo vial, kilómetro 1,8, sentido Floridablanca-Girón",,7.1274586,-73.1191299,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;cepillo_crema_dental;papel_higienico;botiquin,,"Concesionario de la red FIAT/JEEP/RAM. Reciben alimentos y artículos básicos. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.",Pulzo,https://www.pulzo.com/nacion/donde-abrieron-nuevos-puntos-acopio-bogota-medellin-para-donar-PP5273664
CAFE Consota,alcaldia,66001,Pereira,"Manzanas 7 y 8, Villa Consota",Cuba,4.8101631,-75.7227395,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;botiquin,,Centro de Atención a la Familia en Emergencia de la Alcaldía de Pereira. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.,"Alcaldía de Pereira, vía Asocapitales",https://www.asocapitales.co/actualidad/noticias/ciudades-seguras/ciudades-capitales-activan-centros-de-acopio-para-apoyar-las
CAFE Perla del Otún,alcaldia,66001,Pereira,Diagonal a la iglesia de los 2.500 Lotes,Cuba,4.8053694,-75.7392398,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;botiquin,,"Centro de Atención a la Familia en Emergencia. FALTA LA NOMENCLATURA: la referencia es la iglesia. · PIN APROXIMADO (ubicado por barrio, aproximado). Verificarlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Alcaldía de Pereira, vía Asocapitales",https://www.asocapitales.co/actualidad/noticias/ciudades-seguras/ciudades-capitales-activan-centros-de-acopio-para-apoyar-las
CAFE El Remanso,alcaldia,66001,Pereira,"Avenida Principal del barrio El Remanso, al lado del Centro de Salud",El Remanso,4.7854606,-75.788322,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;botiquin,,"Centro de Atención a la Familia en Emergencia. FALTA LA NOMENCLATURA. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Alcaldía de Pereira, vía Asocapitales",https://www.asocapitales.co/actualidad/noticias/ciudades-seguras/ciudades-capitales-activan-centros-de-acopio-para-apoyar-las
CAFE Kennedy,alcaldia,66001,Pereira,Parque principal de Kennedy,Kennedy,4.8088032,-75.6725498,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;botiquin,,"Centro de Atención a la Familia en Emergencia. FALTA LA NOMENCLATURA. · PIN APROXIMADO (ubicado por barrio, aproximado). Verificarlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Alcaldía de Pereira, vía Asocapitales",https://www.asocapitales.co/actualidad/noticias/ciudades-seguras/ciudades-capitales-activan-centros-de-acopio-para-apoyar-las
CAFE Ormaza,alcaldia,66001,Pereira,"Calle 3 Bis #5-38, Avenida del Río",,4.7854606,-75.788322,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;botiquin,,"Centro de Atención a la Familia en Emergencia de la Alcaldía de Pereira. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Alcaldía de Pereira, vía Asocapitales",https://www.asocapitales.co/actualidad/noticias/ciudades-seguras/ciudades-capitales-activan-centros-de-acopio-para-apoyar-las
CAFE San Nicolás,alcaldia,66001,Pereira,"Carrera 14 Bis #28-38, antigua Estación de Policía",,4.7854606,-75.788322,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;botiquin,,"Centro de Atención a la Familia en Emergencia de la Alcaldía de Pereira. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.","Alcaldía de Pereira, vía Asocapitales",https://www.asocapitales.co/actualidad/noticias/ciudades-seguras/ciudades-capitales-activan-centros-de-acopio-para-apoyar-las
CAFE Comuna del Café,alcaldia,66001,Pereira,"Carrera 3 con Calle 59A, sector A, Parque Industrial",,4.8223789,-75.7319939,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;cepillo_crema_dental;papel_higienico;toallas_higienicas;panales_bebe;botiquin,,Centro de Atención a la Familia en Emergencia de la Alcaldía de Pereira. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.,"Alcaldía de Pereira, vía Asocapitales",https://www.asocapitales.co/actualidad/noticias/ciudades-seguras/ciudades-capitales-activan-centros-de-acopio-para-apoyar-las
Banco de Alimentos de Dosquebradas,fundacion,66170,Dosquebradas,Transversal 5 #6-30,La Badea,4.8339551,-75.6713013,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada,,"Punto alterno del banco de alimentos del área metropolitana de Pereira. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.",El Tiempo,https://www.eltiempo.com/datos/este-es-el-mapa-completo-de-los-centros-de-acopio-habilitados-en-colombia-para-ayudar-a-los-damnificados-del-terremoto-de-magnitud-7-3577654
Banco de Alimentos de Manizales,fundacion,17001,Manizales,Calle 49 #27A-85,,5.0668907,-75.5066661,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada,,"Manizales es ciudad afectada. Recibe alimentos no perecederos. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.",El Tiempo,https://www.eltiempo.com/datos/este-es-el-mapa-completo-de-los-centros-de-acopio-habilitados-en-colombia-para-ayudar-a-los-damnificados-del-terremoto-de-magnitud-7-3577654
Banco de Alimentos Monseñor Roberto López Londoño,fundacion,63001,Armenia,Banco de Alimentos Monseñor Roberto López Londoño,,4.536307,-75.6723751,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada,,"FALTA LA DIRECCIÓN: la fuente solo nombra la entidad. Es el único punto de Armenia que apareció publicado. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.",El Tiempo,https://www.eltiempo.com/datos/este-es-el-mapa-completo-de-los-centros-de-acopio-habilitados-en-colombia-para-ayudar-a-los-damnificados-del-terremoto-de-magnitud-7-3577654
Banco Arquidiocesano de Alimentos de Ibagué,fundacion,73001,Ibagué,Carrera 4A Estadio #23-42,,4.4386033,-75.2108857,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada,,"La dirección viene con «Estadio» en la mitad, tal como la publicó la fuente. Confirmar la nomenclatura exacta. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.",Asocapitales,https://www.asocapitales.co/actualidad/noticias/ciudades-seguras/ciudades-capitales-activan-centros-de-acopio-para-apoyar-las
Oficina de Gestión del Riesgo (OGRICC),alcaldia,47001,Santa Marta,"Calle 16 #14A-08, piso 2",El Cundí,11.2320944,-74.1950916,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;papel_higienico;botiquin,,"Oficina de Gestión del Riesgo, Infraestructura y Cambio Climático del Distrito de Santa Marta. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.",Asocapitales,https://www.asocapitales.co/actualidad/noticias/ciudades-seguras/ciudades-capitales-activan-centros-de-acopio-para-apoyar-las
SCARE Magdalena,ong,47001,Santa Marta,"Calle 24 #3-99, Edificio 424, oficina 1007",,11.2320944,-74.1950916,,6054368361,,Horario por confirmar,,botiquin;medicamentos_sellados;tapabocas;guantes;no_perecederos;jabon,,"Una de las 16 sedes que la SCARE habilitó en el país. · PIN SIN UBICAR: quedó en el centro de la ciudad, no en la dirección. Moverlo al editar.","Sociedad Colombiana de Anestesiología y Reanimación (SCARE), vía La FM",https://www.lafm.com.co/sociedad/terremoto-colombia-salud-sociedades-cientificas-407436
Coliseo Miguel Happy Lora,gobernacion,23001,Montería,Coliseo de Ferias Miguel Happy Lora,,8.7472479,-75.8816517,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;papel_higienico;botiquin,,Punto de la Gobernación de Córdoba. FALTA LA NOMENCLATURA: la fuente da solo el nombre del escenario. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.,El Tiempo,https://www.eltiempo.com/datos/este-es-el-mapa-completo-de-los-centros-de-acopio-habilitados-en-colombia-para-ayudar-a-los-damnificados-del-terremoto-de-magnitud-7-3577654
Punto ciudadano El Recreo,alcaldia,23001,Montería,Barrio El Recreo,El Recreo,8.7803472,-75.8682193,,,,Horario por confirmar,,no_perecederos;enlatados;granos;aceite;panela_azucar;agua_embotellada;cobijas;colchonetas;jabon;papel_higienico;botiquin,,"FALTA LA DIRECCIÓN: la fuente da solo el barrio. · PIN APROXIMADO (ubicado por barrio, aproximado). Verificarlo al editar. · SIN CONTACTO: conseguir teléfono o Instagram antes de poder verificar.",El Tiempo,https://www.eltiempo.com/datos/este-es-el-mapa-completo-de-los-centros-de-acopio-habilitados-en-colombia-para-ayudar-a-los-damnificados-del-terremoto-de-magnitud-7-3577654
SCARE Córdoba,ong,23001,Montería,Calle 62 #7-53,La Castellana,8.7713305,-75.8635227,,6047890650,,Horario por confirmar,,botiquin;medicamentos_sellados;tapabocas;guantes;no_perecederos;jabon,,"Una de las 16 sedes que la SCARE habilitó en el país. · PIN APROXIMADO (ubicado por barrio, aproximado). Verificarlo al editar.","Sociedad Colombiana de Anestesiología y Reanimación (SCARE), vía La FM",https://www.lafm.com.co/sociedad/terremoto-colombia-salud-sociedades-cientificas-407436
